kernel,design,grid,dist,n_cells,rel_l2,pass,kernel_ms,ref_ms
v11-scatter,adaptec1,512,clouds,211447,2.006e-06,1,1.1619,331.3672
v11-scatter,adaptec1,512,cluster,211447,1.477e-06,1,1.1650,328.4405
v11-scatter,adaptec1,512,uniform,211447,3.816e-06,1,1.1603,337.5609
v11-scatter,adaptec1,1024,clouds,211447,6.026e-06,1,1.1569,326.2027
v11-scatter,adaptec1,1024,cluster,211447,5.432e-06,1,1.1709,324.9129
v11-scatter,adaptec1,1024,uniform,211447,1.013e-05,1,1.1854,333.7771
v11-scatter,adaptec1,2048,clouds,211447,1.636e-05,1,1.2562,355.0594
v11-scatter,adaptec1,2048,cluster,211447,1.722e-05,1,1.2658,353.4600
v11-scatter,adaptec1,2048,uniform,211447,2.241e-05,1,1.2645,371.5845
v11-scatter,adaptec2,512,clouds,255023,2.749e-06,1,1.6095,388.8347
v11-scatter,adaptec2,512,cluster,255023,1.350e-06,1,1.6508,387.0688
v11-scatter,adaptec2,512,uniform,255023,3.642e-06,1,1.6218,390.2283
v11-scatter,adaptec2,1024,clouds,255023,7.479e-06,1,1.6328,385.2246
v11-scatter,adaptec2,1024,cluster,255023,5.045e-06,1,1.6467,391.6502
v11-scatter,adaptec2,1024,uniform,255023,9.932e-06,1,1.6492,400.1055
v11-scatter,adaptec2,2048,clouds,255023,1.858e-05,1,1.7181,423.8782
v11-scatter,adaptec2,2048,cluster,255023,1.636e-05,1,1.6600,415.0327
v11-scatter,adaptec2,2048,uniform,255023,2.242e-05,1,1.6705,422.1770
v11-scatter,adaptec3,512,clouds,451650,2.220e-06,1,2.5202,670.1079
v11-scatter,adaptec3,512,cluster,451650,1.017e-06,1,2.5558,668.6107
v11-scatter,adaptec3,512,uniform,451650,2.960e-06,1,2.5331,682.3808
v11-scatter,adaptec3,1024,clouds,451650,6.477e-06,1,2.5373,678.3276
v11-scatter,adaptec3,1024,cluster,451650,3.906e-06,1,2.5589,681.6846
v11-scatter,adaptec3,1024,uniform,451650,8.878e-06,1,2.5704,692.8176
v11-scatter,adaptec3,2048,clouds,451650,1.750e-05,1,2.5531,719.5954
v11-scatter,adaptec3,2048,cluster,451650,1.353e-05,1,2.5733,728.3468
v11-scatter,adaptec3,2048,uniform,451650,2.153e-05,1,2.6121,741.8195
v11-scatter,bigblue1,512,clouds,278164,2.808e-06,1,1.5654,418.5808
v11-scatter,bigblue1,512,cluster,278164,1.293e-06,1,1.5957,427.9185
v11-scatter,bigblue1,512,uniform,278164,3.543e-06,1,1.5903,430.6938
v11-scatter,bigblue1,1024,clouds,278164,7.252e-06,1,1.5946,429.3165
v11-scatter,bigblue1,1024,cluster,278164,4.817e-06,1,1.6278,421.4173
v11-scatter,bigblue1,1024,uniform,278164,9.853e-06,1,1.6147,440.4420
v11-scatter,bigblue1,2048,clouds,278164,1.848e-05,1,1.6549,457.6827
v11-scatter,bigblue1,2048,cluster,278164,1.600e-05,1,1.6965,448.4936
v11-scatter,bigblue1,2048,uniform,278164,2.230e-05,1,1.6873,469.3667
v11-scatter,bigblue2,512,clouds,557866,1.431e-06,1,2.5650,838.7530
v11-scatter,bigblue2,512,cluster,557866,9.355e-07,1,2.5914,847.7793
v11-scatter,bigblue2,512,uniform,557866,2.744e-06,1,2.5863,844.7511
v11-scatter,bigblue2,1024,clouds,557866,4.042e-06,1,2.5571,842.5803
v11-scatter,bigblue2,1024,cluster,557866,3.551e-06,1,2.6026,871.7752
v11-scatter,bigblue2,1024,uniform,557866,8.517e-06,1,2.5967,850.5075
v11-scatter,bigblue2,2048,clouds,557866,1.148e-05,1,2.6514,882.6035
v11-scatter,bigblue2,2048,cluster,557866,1.266e-05,1,2.6791,881.1388
v11-scatter,bigblue2,2048,uniform,557866,2.116e-05,1,2.6873,911.9261
v11-scatter,bigblue3,512,clouds,1096812,3.460e-01,0,4.8196,1614.4866
v11-scatter,bigblue3,512,cluster,1096812,9.021e-02,0,4.9788,1658.4630
v11-scatter,bigblue3,512,uniform,1096812,2.062e-06,1,4.9491,1644.8805
v11-scatter,bigblue3,1024,clouds,1096812,2.294e-01,0,4.8908,1714.4972
v11-scatter,bigblue3,1024,cluster,1096812,7.664e-02,0,4.9879,1782.8022
v11-scatter,bigblue3,1024,uniform,1096812,7.017e-06,1,4.9697,1668.1398
v11-scatter,bigblue3,2048,clouds,1096812,5.690e-02,0,4.9521,1821.7585
v11-scatter,bigblue3,2048,cluster,1096812,9.622e-06,1,5.0842,1813.2857
v11-scatter,bigblue3,2048,uniform,1096812,1.945e-05,1,5.0749,1848.5810
