kernel,design,grid,dist,n_cells,rel_l2,pass,kernel_ms,ref_ms
v11-scatter,adaptec1,512,clouds,211447,2.006e-06,1,1.1680,342.8858
v11-scatter,adaptec1,512,cluster,211447,1.477e-06,1,1.1668,338.1354
v11-scatter,adaptec1,512,uniform,211447,3.816e-06,1,1.1636,349.8674
v11-scatter,adaptec1,1024,clouds,211447,6.026e-06,1,1.1681,326.8653
v11-scatter,adaptec1,1024,cluster,211447,5.432e-06,1,1.1776,326.8633
v11-scatter,adaptec1,1024,uniform,211447,1.013e-05,1,1.1939,340.1086
v11-scatter,adaptec1,2048,clouds,211447,1.636e-05,1,1.2681,354.5724
v11-scatter,adaptec1,2048,cluster,211447,1.722e-05,1,1.2924,358.0575
v11-scatter,adaptec1,2048,uniform,211447,2.241e-05,1,1.2758,378.5033
